Time	ERKPP	AktPIPP	Akt	AktPIP3	AktPIP	ERK	ERKP	GS	HRG	MEK	MEKP	MEKPP	PI3K	PI3Kstar	PIP3	R	RP	RHRG	RHRG2	RPI3K	RPI3Kstar	RShGS	RShP	RShc	Raf	Rafstar	RasGDP	RasGTP	ShGS	ShP	Shc	P_I	internalization	E	MKP3	PP2A
0	0	0	10	0	0	1000	0	10	330	120	0	0	10	0	0	80	0	0	0	0	0	0	0	0	100	0	120	0	0	0	1000	800	0	7	2.4	11.4
3	1.83E-08	0.0434183	9.75278	0.135996	0.0678058	999.995	0.00466518	3.11226	253.089	115.983	3.96084	0.0556969	9.17453	0.754142	0.00644019	3.08928	0.753543	11.2532	2.24844	0.058253	0.0130712	5.8777	17.4072	6.4658	98.6283	1.37174	119.809	0.190682	1.01003	319.921	649.319	799.746	0.00480036	7	2.4	11.4
6	0.000205943	0.129546	9.53536	0.202518	0.132572	999.505	0.494992	2.81769	250.168	95.376	22.4137	2.21036	8.74348	1.14759	0.00980766	0.167521	1.20245	5.43129	1.57932	0.088537	0.0203907	6.48324	21.1069	6.70541	96.7961	3.20385	119.924	0.0760842	0.699066	672.099	292.906	799.526	0.0143177	7	2.4	11.4
9	0.0123065	0.253997	9.17273	0.339501	0.233768	996.168	3.81934	3.02893	250.02	71.9421	38.955	9.10298	7.80283	1.9992	0.0170939	0.0198103	2.42393	4.79994	2.66782	0.158965	0.0390062	6.61675	19.9584	5.69406	96.3448	3.65521	119.978	0.0224071	0.354316	886.385	80.9915	799.156	0.0312134	7	2.4	11.4
12	0.129515	0.543899	8.32768	0.658881	0.46954	987.56	12.3106	4.24514	250.016	53.1486	47.7705	19.0808	5.29227	4.26463	0.0365428	0.0160593	7.57727	7.21003	7.33211	0.337741	0.105359	5.65787	12.1429	3.15818	96.3387	3.66127	119.995	0.00477339	0.0969889	972	6.94363	798.291	0.0755276	7	2.4	11.4
15	0.619962	1.10655	7.35903	0.791582	0.742837	972.769	26.6108	7.41493	250.025	39.2319	50.7192	30.0489	3.61695	5.78383	0.0496676	0.0252134	13.9059	11.0167	13.2822	0.425607	0.173615	2.56114	3.14474	0.79848	96.4677	3.53229	119.999	0.00109809	0.0239268	992.804	0.667966	797.309	0.187447	7	2.4	11.4
18	1.92536	1.70021	6.65622	0.754196	0.88938	952.006	46.0685	9.20935	250.03	29.1036	50.1182	40.7782	3.27373	6.08896	0.0523138	0.0301244	15.9698	12.2131	15.176	0.442745	0.194566	0.784271	0.775252	0.196682	96.629	3.37099	120	0.000288347	0.00638009	998.095	0.142499	796.604	0.339016	7	2.4	11.4
21	4.57342	2.21978	6.10618	0.699419	0.974624	926.05	69.3769	9.76591	250.031	21.7511	47.64	50.6089	3.20002	6.15409	0.0528818	0.0314202	16.4673	12.4786	15.6259	0.446338	0.199555	0.232253	0.216498	0.0552392	96.8013	3.19866	120	8.23E-05	0.00183232	999.451	0.0431629	796.053	0.50184	7	2.4	11.4
24	9.06962	2.66301	5.65868	0.649145	1.02916	895.923	95.0075	9.91368	250.032	16.4075	44.3519	59.2407	3.19036	6.16278	0.0529603	0.0316965	16.5294	12.5257	15.6934	0.446686	0.200173	0.0856445	0.0786496	0.0203707	96.9775	3.02249	120	3.00E-05	0.000673139	999.795	0.0199188	795.606	0.666991	7	2.4	11.4
27	15.813	3.0395	5.28811	0.606147	1.06625	862.697	121.49	9.95138	250.032	12.5117	40.8911	66.5972	3.19671	6.1574	0.0529163	0.031718	16.4794	12.5187	15.6634	0.446222	0.199668	0.048241	0.0441369	0.0116422	97.1541	2.84595	120	1.68E-05	0.000380309	999.881	0.0141974	795.235	0.832077	7	2.4	11.4
30	25.0512	3.35829	4.9792	0.569944	1.09256	827.379	147.57	9.96095	250.032	9.65791	37.6124	72.7297	3.20709	6.14848	0.0528411	0.0316759	16.4016	12.4982	15.6089	0.445553	0.198884	0.0387409	0.0354126	0.00943608	97.3287	2.67126	120	1.35E-05	0.000306863	999.903	0.012798	794.926	0.996492	7	2.4	11.4
33	36.8717	3.62699	4.72155	0.539615	1.11184	790.854	172.274	9.96347	250.032	7.55434	34.6918	77.7539	3.21848	6.13865	0.0527579	0.0316179	16.3173	12.4743	15.5486	0.444832	0.198035	0.0362435	0.033122	0.00885717	97.4999	2.50007	120	1.26E-05	0.000288565	999.909	0.0124788	794.669	1.16009	7	2.4	11.4
36	51.2187	3.85216	4.50722	0.514297	1.12633	753.862	194.919	9.96423	250.032	5.99217	32.1978	81.81	3.23013	6.1286	0.0526725	0.031556	16.2318	12.4496	15.4869	0.444098	0.197172	0.0354873	0.0324287	0.00868232	97.6663	2.33366	120	1.24E-05	0.000284033	999.911	0.0124292	794.455	1.32283	7	2.4	11.4
39	67.9239	4.03961	4.32971	0.493245	1.13744	716.997	215.079	9.96456	250.031	4.82225	30.1383	85.0395	3.24185	6.11848	0.0525862	0.0314932	16.1464	12.4248	15.4252	0.44336	0.196311	0.0351617	0.0321302	0.0086073	97.827	2.17305	120	1.24E-05	0.000282914	999.911	0.0124465	794.277	1.48472	7	2.4	11.4
42	86.7398	4.19453	4.18354	0.475818	1.14611	680.718	232.542	9.96477	250.031	3.93812	28.4891	87.5728	3.25359	6.10834	0.0524996	0.0314303	16.0615	12.4	15.3636	0.442621	0.195453	0.0349424	0.0319292	0.00855696	97.981	2.01898	120	1.24E-05	0.000282636	999.912	0.0124805	794.131	1.64576	7	2.4	11.4
45	107.372	4.32154	4.06401	0.461468	1.15297	645.366	247.262	9.96497	250.031	3.26366	27.212	89.5243	3.26533	6.09818	0.0524128	0.0313675	15.9771	12.3752	15.3022	0.441881	0.194601	0.0347499	0.0317528	0.00851284	98.128	1.872	120	1.24E-05	0.000282564	999.912	0.0125187	794.012	1.80596	7	2.4	11.4
48	129.505	4.42472	3.96709	0.449721	1.15847	611.188	259.307	9.96515	250.031	2.74428	26.2648	90.9909	3.27709	6.08802	0.0523257	0.0313048	15.8932	12.3505	15.2411	0.44114	0.193753	0.0345648	0.0315832	0.00847043	98.2675	1.73247	120	1.24E-05	0.000282541	999.913	0.012558	793.915	1.96531	7	2.4	11.4
51	152.822	4.50759	3.88931	0.440176	1.16292	578.35	268.827	9.96534	250.031	2.34064	25.6066	92.0528	3.28885	6.07784	0.0522385	0.0312423	15.8099	12.3258	15.1802	0.440399	0.192909	0.0343824	0.0314161	0.00842864	98.3994	1.6006	120	1.24E-05	0.000282531	999.913	0.0125977	793.837	2.12382	7	2.4	11.4
54	177.017	4.57321	3.82775	0.432489	1.16656	546.959	276.023	9.96552	250.031	2.02423	25.2	92.7757	3.30061	6.06766	0.052151	0.0311799	15.7272	12.3012	15.1196	0.439657	0.192071	0.0342016	0.0312504	0.00838722	98.5235	1.47645	120	1.24E-05	0.000282523	999.913	0.0126377	793.776	2.28151	7	2.4	11.4
57	201.808	4.62418	3.7799	0.426371	1.16955	517.073	281.119	9.9657	250.031	1.77421	25.0125	93.2133	3.31238	6.05747	0.0520634	0.0311176	15.645	12.2766	15.0592	0.438914	0.191238	0.034022	0.0310859	0.00834609	98.64	1.35999	120	1.24E-05	0.000282516	999.914	0.0126778	793.728	2.43837	7	2.4	11.4
60	226.936	4.66271	3.74369	0.421578	1.17203	488.713	284.351	9.96587	250.031	1.57527	25.0162	93.4086	3.32415	6.04727	0.0519757	0.0310554	15.5633	12.2521	14.999	0.438171	0.190409	0.0338437	0.0309225	0.00830524	98.7489	1.25109	120	1.24E-05	0.000282509	999.914	0.012718	793.692	2.59441	7	2.4	11.4
63	252.172	4.69065	3.71734	0.417908	1.1741	461.874	285.953	9.96605	250.031	1.41606	25.1873	93.3966	3.33593	6.03706	0.0518879	0.0309934	15.4822	12.2276	14.9391	0.437427	0.189585	0.0336665	0.0307602	0.00826465	98.8504	1.14955	120	1.24E-05	0.000282503	999.914	0.0127584	793.665	2.74964	7	2.4	11.4
66	277.319	4.70957	3.6994	0.41519	1.17584	436.532	286.149	9.96623	250.031	1.2881	25.5061	93.2058	3.34771	6.02684	0.0517999	0.0309315	15.4016	12.2032	14.8795	0.436682	0.188766	0.0334905	0.0305989	0.00822434	98.9449	1.05513	120	1.24E-05	0.000282496	999.915	0.012799	793.648	2.90406	7	2.4	11.4
69	302.205	4.72074	3.68866	0.413283	1.17731	412.646	285.149	9.9664	250.031	1.18499	25.9558	92.8592	3.3595	6.01661	0.0517118	0.0308697	15.3216	12.1788	14.8201	0.435938	0.187952	0.0333157	0.0304387	0.0081843	99.0325	0.967545	120	1.24E-05	0.00028249	999.915	0.0128398	793.637	3.05767	7	2.4	11.4
72	326.687	4.72525	3.68411	0.412072	1.17857	390.168	283.146	9.96658	250.031	1.10188	26.5224	92.3757	3.37129	6.00638	0.0516237	0.0308081	15.242	12.1545	14.761	0.435192	0.187142	0.033142	0.0302796	0.00814451	99.1135	0.886467	120	1.24E-05	0.000282484	999.915	0.0128807	793.632	3.21049	7	2.4	11.4
