Human Signaling Network,16-Jan-14,,,
1909,EDNRA,4683,NBN,Pos
7040,TGFB1,7040,TGFB1,Neg
9669,EIF5B,6135,RPL11,Pos
367,AR,7337,UBE3A,Phy
5291,PIK3CB,57580,PREX1,Pos
5568,PRKACG,1499,CTNNB1,Pos
156,ADRBK1,155,ADRB3,Pos
3674,ITGA2B,81,ACTN4,Phy
4176,MCM7,7337,UBE3A,Neg
920,CD4,3702,ITK,Pos
6774,STAT3,4609,MYC,Pos
7709,ZBTB17,57447,NDRG2,Neg
1460,CSNK2B,4792,NFKBIA,Neg
1128,CHRM1,9630,GNA14,Pos
2784,GNB3,23533,PIK3R5,Pos
6461,SHB,6714,SRC,Phy
2057,EPOR,8660,IRS2,Pos
7450,VWF,8516,ITGA8,Pos
6132,RPL8,6223,RPS19,Phy
1019,CDK4,6118,RPA2,Pos
3280,HES1,3400,ID4,Phy
3170,FOXA2,7351,UCP2,Pos
6461,SHB,5290,PIK3CA,Pos
8550,MAPKAPK5,602,BCL3,Pos
3553,IL1B,3456,IFNB1,Pos
3696,ITGB8,5329,PLAUR,Phy
3685,ITGAV,5329,PLAUR,Phy
3315,HSPB1,5713,PSMD7,Phy
136,ADORA2B,3569,IL6,Pos
5590,PRKCZ,4775,NFATC3,Pos
5576,PRKAR2A,23566,LPAR3,Pos
353091,RAET1G,22914,KLRK1,Pos
7473,WNT3,11211,FZD10,Pos
3134,HLA-F,926,CD8B,Pos
5465,PPARA,1581,CYP7A1,Pos
5685,PSMA4,5714,PSMD8,Phy
2770,GNAI1,673,BRAF,Pos
405,ARNT,7018,TF,Pos
5709,PSMD3,80227,PAAF1,Phy
7166,TPH1,139760,GPR119,Pos
5894,RAF1,5511,PPP1R8,Pos
4880,NPPC,4878,NPPA,Neg
7189,TRAF6,4217,MAP3K5,Phy
1454,CSNK1E,55616,ASAP3,Pos
8669,EIF3J,8668,EIF3I,Phy
3921,RPSA,6205,RPS11,Phy
3908,LAMA2,3691,ITGB4,Pos
3690,ITGB3,5579,PRKCB,Phy
5424,POLD1,6117,RPA1,Pos
51377,UCHL5,5698,PSMB9,Phy
10155,TRIM28,4193,MDM2,Phy
6571,SLC18A2,6616,SNAP25,Pos
