Time	glucose	fructose-6-phosphate	fructose-1,6-bisphosphate	glyceraldehyde 3-phosphate	1,2-bisphospho-D-glycerate	phosphoenolpyruvate	pyruvate	adenine monophosphate	lactate	glycerol-3-phosphate	dihydrohxyacetone-phosphate	oxaloacetate	aspartate	glutamate	oxoglutarate	malate	acetyl CoA	coenzyme A	isocitrate	citrate	adenine triphosphate	adenine diphosphate	NAD	NADH	NADP	NADPH	ubiquinone	ubiquinol	ferrocytochrome c	ferricytochrome c	pyruvate (mito)	carbon dioxide	coenzyme A (mito)	acetyl CoA (mito)	phosphate	fumarate	succinyl-CoA	succinate	guanosine triphosphate	guanosine diphosphate	slanine	aspartate (mito)	glutamate (mito)	water	electron transfer flavoprotein (reduced form)	electron transfer flavoprotein (oxidised form)	FADH2	FAD	oxoglutarate (mto)	malate (mito)	oxaloacetate (mito)	citrate (mito)	isocitrate (mito)	adenine triphosphate (mito)	adenine diphosphate (mito)	NADP+	NADPH (mito)	NAD+	NADH (mito)
0	1.13E-05	0.00065939	7.70E-06	1.91E-06	0.000299109	2.11E-06	4.23E-06	2.61E-06	0.00033981	0.0076925	0.0076925	4.00E-06	0.00114	0.00303	2.10E-05	0.0005	3.00E-05	0.000272	0.00042	0.00042	0.00449064	0.000108367	0.00362057	0.000616118	0.00362057	0.000616118	0.026	0.028	0.003	0.00011	0.001025	0.00163	0.000272	3.00E-05	0.004	6.50E-05	0.0002941	0.00295	0.0045	0.00045	0.00344	0.00114	0.00303	0.001	0.00031	0.00032	7.20E-05	0.00101	2.10E-05	0.0005	4.00E-06	0.00042	0.00042	0.0045	0.00045	0.0101	7.20E-05	0.0101	0.00072
0.5	0.000236235	0.000772039	2.12E-05	3.64E-06	0.000288867	2.60E-06	1.96E-05	9.04E-06	0.000341292	0.0076925	0.0076925	1.60E-06	0.00116891	0.00300109	1.40E-05	0.00039169	3.00E-05	0.000272	0.0004746	0.000483088	0.00447208	0.000207603	0.00362398	0.000612706	0.00361925	0.000617439	0.0259814	0.0280186	0.0029963	0.000113696	0.000909006	0.00174651	0.00016223	0.000146727	0.00398207	0.000101078	0.000287143	0.0029509	0.00450703	0.000442968	0.00344	0.00110465	0.00306535	0.00101119	0.000318768	0.000311232	7.20E-05	0.00101	2.31E-05	0.000586264	4.19E-06	0.000363895	0.000356817	0.00442346	0.000439443	0.010099	7.30E-05	0.0100062	0.000813818
1	0.000404329	0.000688316	0.000243411	4.14E-05	0.00030499	4.39E-06	5.12E-05	5.28E-05	0.000349653	0.0076925	0.0076925	1.13E-06	0.00119551	0.00297449	1.07E-05	0.000362977	3.00E-05	0.000272	0.00048642	0.000503797	0.00422954	0.000492321	0.00358012	0.000656564	0.00361787	0.000618815	0.0259684	0.0280316	0.00299262	0.000117383	0.000829251	0.0018268	9.10E-05	0.000227285	0.00396208	0.000115091	0.00027784	0.00296295	0.00451638	0.000433622	0.00344	0.00107308	0.00309691	0.00102215	0.000326602	0.000303398	7.20E-05	0.00101	2.30E-05	0.000602693	4.39E-06	0.000350096	0.000336468	0.00434746	0.000429523	0.0100979	7.41E-05	0.00995092	0.000869081
1.5	0.000555338	0.000266024	0.000642056	0.000157244	0.000514906	1.11E-05	0.000137429	0.000173105	0.000382785	0.0076925	0.0076925	9.47E-07	0.0012194	0.0029506	9.21E-06	0.000354963	3.00E-05	0.000272	0.000486695	0.00051315	0.00385585	0.000830038	0.00328179	0.000954896	0.00361649	0.0006202	0.0259562	0.0280438	0.00298894	0.000121061	0.000779531	0.00187704	5.21E-05	0.000277813	0.00393995	0.000120603	0.000266164	0.00298021	0.00452808	0.000421923	0.00344001	0.00104501	0.00312498	0.00103288	0.000333601	0.000296399	7.20E-05	0.00101	2.19E-05	0.000602992	4.57E-06	0.00034759	0.000327732	0.00427205	0.000420574	0.0100967	7.53E-05	0.00992692	0.000893078
2	0.000697057	7.39E-05	0.000692529	0.000229175	0.000864479	2.04E-05	0.000283581	0.000189318	0.000509676	0.0076925	0.0076925	8.54E-07	0.00124051	0.00292949	8.42E-06	0.000352342	3.00E-05	0.000272	0.000483883	0.000519457	0.00390105	0.000851776	0.00278091	0.00145578	0.0036151	0.000621584	0.0259438	0.0280562	0.00298527	0.000124731	0.000748554	0.00190853	3.38E-05	0.000309596	0.00391627	0.000122619	0.000252729	0.00300013	0.00454153	0.000408474	0.00344001	0.00102012	0.00314987	0.00104342	0.000339856	0.000290144	7.20E-05	0.00100999	2.05E-05	0.000600019	4.73E-06	0.000348071	0.000322154	0.00419725	0.000412218	0.0100956	7.64E-05	0.0099221	0.000897901
2.5	0.000832358	0.000105792	0.000564569	0.000204927	0.00114864	2.35E-05	0.000368004	0.000112167	0.000784986	0.0076925	0.0076925	7.94E-07	0.00125901	0.00291099	7.84E-06	0.000351216	3.00E-05	0.000272	0.000480205	0.000524882	0.00423425	0.00067827	0.002413	0.00182369	0.00361373	0.000622961	0.0259309	0.0280691	0.00298161	0.000128393	0.000727073	0.00193051	2.59E-05	0.000331878	0.00389187	0.000123228	0.000238371	0.00302113	0.00455589	0.000394107	0.00344001	0.000998096	0.00317189	0.00105377	0.000345446	0.000284554	7.20E-05	0.00100999	1.91E-05	0.000596513	4.88E-06	0.000349378	0.000317511	0.00412308	0.000403852	0.0100945	7.75E-05	0.00992676	0.00089324
3	0.000962852	0.000189902	0.000449034	0.00016513	0.00135723	2.19E-05	0.000352582	5.25E-05	0.00113327	0.0076925	0.0076925	7.47E-07	0.00127515	0.00289485	7.37E-06	0.000350537	3.00E-05	0.000272	0.000476268	0.000530011	0.00457325	0.000481041	0.00222503	0.00201166	0.00361235	0.000624334	0.0259176	0.0280824	0.00297795	0.000132048	0.000709968	0.00194811	2.26E-05	0.000349777	0.00386738	0.000123289	0.000223731	0.0030423	0.00457054	0.000379459	0.00344001	0.000978657	0.00319133	0.00106392	0.000350446	0.000279554	7.20E-05	0.00100999	1.79E-05	0.000593019	5.01E-06	0.000350925	0.000313196	0.00404953	0.000395283	0.0100934	7.86E-05	0.00993558	0.000884423
3.5	0.0010896	0.00033126	0.000336295	0.000124245	0.00152797	1.91E-05	0.000285801	2.23E-05	0.00145738	0.00769251	0.00769249	7.06E-07	0.00128917	0.00288083	6.95E-06	0.000350003	3.00E-05	0.000272	0.000472249	0.000535013	0.00484351	0.000322693	0.00212729	0.0021094	0.00361099	0.0006257	0.0259038	0.0280962	0.00297431	0.000135695	0.000694903	0.00196367	2.13E-05	0.000365632	0.00384318	0.000123143	0.000209182	0.00306316	0.0045851	0.000364903	0.00344002	0.000961526	0.00320846	0.00107387	0.000354918	0.000275082	7.20E-05	0.00100999	1.68E-05	0.000589631	5.12E-06	0.000352543	0.000309033	0.00397661	0.000386529	0.0100923	7.97E-05	0.00994613	0.000873873
4	0.00121333	0.000515782	0.000236594	8.68E-05	0.00165667	1.70E-05	0.000214646	1.06E-05	0.00171465	0.00769251	0.00769249	6.69E-07	0.0013013	0.0028687	6.57E-06	0.000349524	3.00E-05	0.000272	0.000468201	0.00053994	0.0050314	0.000227642	0.00207513	0.00216156	0.00360963	0.00062706	0.0258896	0.0281104	0.00297067	0.000139335	0.000680898	0.00197816	2.08E-05	0.000380421	0.00381948	0.000122921	0.000194925	0.00308347	0.00459936	0.000350638	0.00344002	0.00094645	0.00322353	0.00108361	0.000358922	0.000271078	7.20E-05	0.00100999	1.57E-05	0.000586359	5.23E-06	0.00035418	0.000304968	0.00390432	0.000377704	0.0100912	8.08E-05	0.00995739	0.000862607
4.5	0.00133453	0.000718684	0.000163783	5.86E-05	0.00173063	1.59E-05	0.000164105	6.75E-06	0.00190789	0.00769251	0.00769249	6.36E-07	0.00131177	0.00285823	6.23E-06	0.000349072	3.00E-05	0.000272	0.000464143	0.000544808	0.00515771	0.000185563	0.00205589	0.00218079	0.00360827	0.000628415	0.0258752	0.0281248	0.00296703	0.000142968	0.000667561	0.00199197	2.05E-05	0.000394538	0.00379639	0.000122674	0.000181064	0.00310312	0.00461323	0.00033677	0.00344002	0.000933199	0.00323678	0.00109314	0.000362508	0.000267492	7.20E-05	0.00100998	1.48E-05	0.000583202	5.32E-06	0.00035582	0.000300982	0.00383266	0.000368937	0.0100901	8.19E-05	0.00996897	0.000851034
