Time	BM	ACT	GLC	ACoA	AKG	cAMP	FBP	G6P	GLX	ICT	MAL	OAA	PEP	PG3	PYR	AceA	AceB	AceK	Acoa2act	Acs	Akg2mal	CAMPdegr	Cya	Emp	Eno	Fdp	GltA	Icd	Icd_P	Mdh	Me	PckA	Pdh	PfkA	Ppc	PpsA	PykF	Cra	CraFBP	Crp	CrpcAMP	IclR	PdhR	PdhRPYR	EIIA	EIIA_P	EIICB
0	0.03	0	4.8	0.351972	0.191191	0.202804	6.57504	1.90814	5.71E-09	0.00140812	3.27878	0.0505354	0.210456	5.72098	0.863278	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429079	0.000220477	0.00345727	0.000999714	0.00229089	0.0046474	0.000143816	0.000999714	0.000987493	0.00597717	0.000299098	0.0069909	0.00594327	0.00134673	0.00729	0.00116381	0.00612619	0.0964771	0.00352292	0.003
795	0.0346143	0.00170639	4.79028	0.390341	0.197245	0.202769	6.57402	1.90802	5.47E-09	0.00143244	3.33531	0.0495095	0.210438	5.72009	0.862903	0.00472335	0.001417	0.0001417	0.001	0.00109619	0.00102684	0.001	0.001	0.0115156	0.0115528	0.000157496	0.0010296	0.00429059	0.000220744	0.00345723	0.00099973	0.00229096	0.00464736	0.000143815	0.00099968	0.000987523	0.00597716	0.000299187	0.00699081	0.00594346	0.00134654	0.00729	0.00116424	0.00612576	0.0964777	0.0035223	0.003
1590	0.0399384	0.00360399	4.77907	0.399938	0.198633	0.202767	6.57383	1.908	5.41E-09	0.00143795	3.34832	0.049282	0.210435	5.71993	0.862835	0.00472351	0.00141705	0.000141705	0.001	0.00109616	0.00102683	0.001	0.001	0.0115156	0.0115528	0.000157502	0.00102959	0.00429064	0.000220793	0.00345719	0.000999783	0.00229106	0.00464731	0.000143814	0.000999655	0.000987567	0.00597714	0.000299204	0.0069908	0.00594348	0.00134652	0.00729	0.00116432	0.00612568	0.0964777	0.00352226	0.003
2385	0.0460815	0.00576528	4.76613	0.404353	0.199253	0.202766	6.57376	1.90799	5.38E-09	0.00144039	3.35411	0.0491799	0.210435	5.71986	0.862817	0.00472367	0.0014171	0.00014171	0.001	0.00109613	0.00102682	0.001	0.001	0.0115156	0.0115528	0.000157507	0.00102958	0.00429072	0.000220808	0.00345716	0.000999842	0.00229115	0.00464726	0.000143813	0.000999635	0.000987609	0.00597712	0.000299211	0.00699079	0.00594348	0.00134652	0.00729	0.00116434	0.00612566	0.0964777	0.00352225	0.003
3180	0.0531695	0.0082423	4.75121	0.406885	0.199603	0.202766	6.57372	1.90799	5.37E-09	0.00144175	3.35737	0.0491219	0.210434	5.71983	0.862814	0.00472382	0.00141715	0.000141715	0.001	0.00109611	0.00102682	0.001	0.001	0.0115156	0.0115528	0.000157512	0.00102957	0.0042908	0.000220813	0.00345712	0.000999898	0.00229124	0.00464721	0.000143812	0.000999618	0.000987647	0.0059771	0.000299214	0.00699079	0.00594348	0.00134652	0.00729	0.00116434	0.00612566	0.0964777	0.00352225	0.003
3975	0.0613478	0.0110886	4.73399	0.408516	0.199827	0.202766	6.57369	1.908	5.36E-09	0.00144262	3.35945	0.0490848	0.210434	5.71981	0.862816	0.00472394	0.00141718	0.000141718	0.001	0.00109609	0.00102681	0.001	0.001	0.0115156	0.0115529	0.000157516	0.00102956	0.00429087	0.000220814	0.0034571	0.00099995	0.00229131	0.00464717	0.000143811	0.000999604	0.000987681	0.00597708	0.000299216	0.00699078	0.00594348	0.00134652	0.00729	0.00116434	0.00612566	0.0964777	0.00352225	0.003
4770	0.070784	0.0143637	4.71411	0.409647	0.199981	0.202766	6.57368	1.908	5.35E-09	0.00144321	3.36087	0.0490591	0.210434	5.71979	0.86282	0.00472405	0.00141721	0.000141722	0.001	0.00109607	0.00102681	0.001	0.001	0.0115156	0.0115529	0.00015752	0.00102955	0.00429094	0.000220814	0.00345707	0.000999997	0.00229138	0.00464714	0.000143811	0.000999592	0.000987711	0.00597707	0.000299217	0.00699078	0.00594348	0.00134652	0.00729	0.00116433	0.00612567	0.0964777	0.00352226	0.003
5565	0.0816717	0.0181351	4.69119	0.410471	0.200093	0.202767	6.57367	1.908	5.35E-09	0.00144364	3.3619	0.0490404	0.210434	5.71979	0.862823	0.00472414	0.00141724	0.000141724	0.001	0.00109606	0.0010268	0.001	0.001	0.0115156	0.0115529	0.000157524	0.00102954	0.00429099	0.000220813	0.00345706	0.00100004	0.00229143	0.00464711	0.00014381	0.000999582	0.000987736	0.00597706	0.000299218	0.00699078	0.00594348	0.00134652	0.00729	0.00116433	0.00612567	0.0964777	0.00352226	0.003
6360	0.0942341	0.0224803	4.66473	0.411093	0.200177	0.202767	6.57367	1.90801	5.34E-09	0.00144396	3.36267	0.0490263	0.210435	5.71978	0.862825	0.00472422	0.00141727	0.000141727	0.001	0.00109605	0.0010268	0.001	0.001	0.0115156	0.0115529	0.000157526	0.00102954	0.00429104	0.000220813	0.00345704	0.00100008	0.00229148	0.00464709	0.000143809	0.000999573	0.000987758	0.00597705	0.000299218	0.00699078	0.00594347	0.00134653	0.00729	0.00116433	0.00612567	0.0964777	0.00352227	0.003
7155	0.108729	0.0274882	4.63421	0.411574	0.200242	0.202768	6.57367	1.90801	5.34E-09	0.00144421	3.36327	0.0490154	0.210435	5.71978	0.862826	0.00472429	0.00141729	0.000141729	0.001	0.00109604	0.0010268	0.001	0.001	0.0115156	0.0115529	0.000157529	0.00102954	0.00429108	0.000220814	0.00345703	0.00100011	0.00229152	0.00464707	0.000143809	0.000999566	0.000987776	0.00597704	0.000299218	0.00699078	0.00594347	0.00134653	0.00729	0.00116433	0.00612567	0.0964777	0.00352228	0.003
