1909,EDNRA,4683,NBN,Pos
7040,TGFB1,7040,TGFB1,Neg
367,AR,7337,UBE3A,Phy
5291,PIK3CB,57580,PREX1,Pos
5568,PRKACG,1499,CTNNB1,Pos
3674,ITGA2B,81,ACTN4,Phy
4176,MCM7,7337,UBE3A,Neg
920,CD4,3702,ITK,Pos
6774,STAT3,4609,MYC,Pos
1460,CSNK2B,4792,NFKBIA,Neg
1128,CHRM1,9630,GNA14,Pos
6461,SHB,6714,SRC,Phy
2057,EPOR,8660,IRS2,Pos
7450,VWF,8516,ITGA8,Pos
1019,CDK4,6118,RPA2,Pos
3280,HES1,3400,ID4,Phy
6461,SHB,5290,PIK3CA,Pos
8550,MAPKAPK5,602,BCL3,Pos
3553,IL1B,3456,IFNB1,Pos
3696,ITGB8,5329,PLAUR,Phy
3685,ITGAV,5329,PLAUR,Phy
3315,HSPB1,5713,PSMD7,Phy
5590,PRKCZ,4775,NFATC3,Pos
5576,PRKAR2A,23566,LPAR3,Pos
5465,PPARA,1581,CYP7A1,Pos
5685,PSMA4,5714,PSMD8,Phy
2770,GNAI1,673,BRAF,Pos
5894,RAF1,5511,PPP1R8,Pos
7189,TRAF6,4217,MAP3K5,Phy
1454,CSNK1E,55616,ASAP3,Pos
8669,EIF3J,8668,EIF3I,Phy
3908,LAMA2,3691,ITGB4,Pos
3690,ITGB3,5579,PRKCB,Phy
51377,UCHL5,5698,PSMB9,Phy
10155,TRIM28,4193,MDM2,Phy
6571,SLC18A2,6616,SNAP25,Pos
7048,TGFBR2,27254,CSDC2,Pos
4067,LYN,2042,EPHA3,Neg
51561,IL23A,3594,IL12RB1,Pos
1857,DVL3,815,CAMK2A,Phy
5579,PRKCB,387,RHOA,Pos
1947,EFNB1,3932,LCK,Pos
143471,PSMA8,8881,CDC16,Pos
2322,FLT3,4254,KITLG,Phy
4853,NOTCH2,5664,PSEN2,Phy
7157,TP53,10733,PLK4,Neg
394,ARHGAP5,5585,PKN1,Pos
10014,HDAC5,8370,HIST2H4A,Pos
7481,WNT11,2778,GNAS,Pos
1647,GADD45A,9133,CCNB2,Neg
5337,PLD1,5578,PRKCA,Pos
8881,CDC16,29945,ANAPC4,Pos
5566,PRKACA,2335,FN1,Pos
